name,id,found,desc
Jean-Marie Tassoua,Q6169656,Jean-Marie Tassoua,Republic of the Congo politician
Jeanne Dambendzet,Q6172056,Jeanne Dambendzet,Republic of the Congo politician
Josué Rodrigue Ngouonimba,Q55807584,Josué Rodrigue Ngouonimba,Congolese politician
Justin Ballay Megot,Q6317336,Justin Ballay Mégot,Republic of the Congo politician
Lamyr Nguele,Q6482763,Lamyr Nguélé,Republic of the Congo politician
Léon Juste Ibombo,Q40770924,Léon Juste Ibombo,Congolese politician
Léon Raphaël Mokoko,Q25695110,Léon Raphaël Mokoko,Congolese politician
Léon-Alfred Opimbat,Q6711024,Léon-Alfred Opimbat,Republic of the Congo politician
Léonidas Mottom,Q24158913,Léonidas Mottom,Congolese politician
Martin Mberi,Q3295525,Martin M'beri,Congolese politician
Martin Parfait Aimé Coussoud-Mavoungou,Q3295579,Martin Parfait Aimé Coussoud-Mavoungou,Congolese politician
Mathias Dzon,Q6787108,Mathias Dzon,Congolese politician
Mathieu Martial Kani,Q6774710,Martial Mathieu Kani,Republic of the Congo politician
Nicéphore Fylla de Saint-Eudes,Q57464277,Nicéphore Fylla de Saint-Eudes,Congolese politician
Pacifique Issoibeka,Q7122834,Pacifique Issoïbeka,Republic of the Congo politician
Parfait Aimé Coussoud-Mavoungou,Q3295579,Martin Parfait Aimé Coussoud-Mavoungou,Congolese politician
Pierre Damien Boussoukou Boumba,Q7192163,Pierre Damien Boussoukou-Boumba,Republic of the Congo politician
Pierre Ernest Abandzounou,Q7191981,Pierre-Ernest Abandzounou,Republic of the Congo politician
Pierre Mabiala,Q7192339,Pierre Mabiala,Republic of the Congo politician
Pierre Moussa,Q3386379,Pierre Moussa,Republic of the Congo politician
Pierre Nzila,Q7192384,Pierre Nzila,Republic of the Congo politician
Pierre Oba,Q3386464,Pierre Oba,Republic of the Congo politician
Pierre-Michel Nguimbi,Q3383396,Pierre-Michel Nguimbi,Republic of the Congo politician
Raymond Zéphirin Mboulou,Q7299001,Raymond Mboulou,Republic of the Congo politician
Rodolphe Adada,Q3438286,Rodolphe Adada,politician and diplomat
Roger Rigobert Andely,Q23900401,Rigobert Roger Andely,Congolese economist
Rosalie Matondo,Q24176158,Rosalie Matondo,"Congolese Research fellow, agricultural engineer and politician"
Serge Blaise Zoniaba,Q26266432,Serge Blaise Zoniaba,Congolese politician
Thierry Lézin Moungalla,Q19819308,Thierry Moungalla,Congolese politician
Yvonne-Adélaïde Moundélé-Ngollo,Q4686987,Adélaïde Moundélé-Ngollo,Republic of the Congo politician
Alphonse Gando,Q112321240,Alphonse Gando,Alphonse Gando
Alphonse Mbama,Q112321242,Alphonse Mbama,Alphonse Mbama
Andre Okombi Salissan,Q112321245,Andre Okombi Salissan,Andre Okombi Salissan
Ange Antoine Abena,Q112321246,Ange Antoine Abena,Ange Antoine Abena
Catherine Embondza,Q112321247,Catherine Embondza,Catherine Embondza
Emile Mabonzot,Q112321248,Emile Mabonzot,Emile Mabonzot
Fulmin Ayessa,Q112321249,Fulmin Ayessa,Fulmin Ayessa
Gabriel Longombe,Q112321250,Gabriel Longombe,Gabriel Longombe
Itihi Lekounzou Ossetoumba,Q112321251,Itihi Lekounzou Ossetoumba,Itihi Lekounzou Ossetoumba
Jean-Felix Demba Delo,Q112321252,Jean-Felix Demba Delo,Jean-Felix Demba Delo
Jeanne Francoise Lekomba,Q112321253,Jeanne Francoise Lekomba,Jeanne Francoise Lekomba
Louis-Marie Nombo Mavoungou,Q112321254,Louis-Marie Nombo Mavoungou,Louis-Marie Nombo Mavoungou
Madeleine Yila Boumpoto,Q112321255,Madeleine Yila Boumpoto,Madeleine Yila Boumpoto
Mambou Elie Niamy,Q112321257,Mambou Elie Niamy,Mambou Elie Niamy
Marcel Mbani,Q112321258,Marcel Mbani,Marcel Mbani
Michel Mampoya,Q112321259,Michel Mampoya,Michel Mampoya
Nkoua Celestin Gongara,Q112321260,Nkoua Celestin Gongara,Nkoua Celestin Gongara
Paul Mbot,Q112321261,Paul Mbot,Paul Mbot
Philippe Mvouo,Q112321262,Philippe Mvouo,Philippe Mvouo
Rigobert Maboundou,Q112321264,Rigobert Maboundou,Rigobert Maboundou
Rosalie Kama Niamayoua,Q112321265,Rosalie Kama Niamayoua,Rosalie Kama Niamayoua
Serge Michel Odzocki,Q112321266,Serge Michel Odzocki,Serge Michel Odzocki
Simon Mfoutou,Q112321267,Simon Mfoutou,Simon Mfoutou
Thomas Dello,Q112321268,Thomas Dello,Thomas Dello
Zacharie Kimpomi,Q112321269,Zacharie Kimpomi,Zacharie Kimpomi
